Feature,Importance
categorical__visibility_low,0.5390729991923401
categorical__traffic_density_high,0.3090434445973096
numerical__is_peak_hour,0.0881171665522226
categorical__weather_rain,0.015472607580362984
categorical__weather_clear,0.01510896312728035
categorical__visibility_high,0.013601928683266847
categorical__visibility_medium,0.013218791257540177
numerical__longitude,0.0023276783567637584
numerical__latitude,0.0021096742813823312
numerical__temperature,0.00046514037555317104
numerical__hour,0.00043775367944879674
numerical__lanes,0.00022359146070891523
numerical__traffic_signal,7.984684338117388e-05
categorical__day_of_week_Tuesday,7.633655456928391e-05
categorical__day_of_week_Saturday,7.494896892210897e-05
categorical__day_of_week_Thursday,7.294904357939229e-05
categorical__day_of_week_Sunday,6.173384334812488e-05
numerical__is_weekend,5.6299692550524426e-05
categorical__road_type_highway,5.1509028019205294e-05
categorical__traffic_density_medium,4.5195209590726776e-05
categorical__city_Pune,3.750368923477028e-05
categorical__road_type_urban,3.5635947846380824e-05
categorical__day_of_week_Wednesday,2.924050802255188e-05
categorical__day_of_week_Monday,2.9208242335125022e-05
categorical__road_type_rural,2.9169947963090585e-05
categorical__city_Hyderabad,2.8936054243084852e-05
categorical__state_Telangana,2.6743144955265494e-05
categorical__weather_fog,2.199037048972692e-05
categorical__city_Bangalore,1.0362413424972986e-05
categorical__traffic_density_low,1.001859153551788e-05
categorical__day_of_week_Friday,9.975943768231939e-06
categorical__state_Karnataka,5.534318864025568e-06
categorical__city_Chennai,3.813864119379616e-06
categorical__state_Tamil Nadu,3.3086350574773738e-06
categorical__state_Delhi,0.0
categorical__city_Mumbai,0.0
categorical__city_Delhi,0.0
categorical__city_Kolkata,0.0
categorical__city_Chandigarh,0.0
categorical__state_Maharashtra,0.0
categorical__state_West Bengal,0.0
categorical__state_Punjab,0.0
