Feature,Mean_SHAP
categorical__visibility_low,0.1424845576716551
categorical__traffic_density_high,0.10130172410609023
numerical__is_peak_hour,0.051953937636287126
categorical__weather_clear,0.010286292763834567
categorical__visibility_high,0.01024087127567195
categorical__weather_rain,0.008566784573231739
categorical__visibility_medium,0.007913215660407962
numerical__longitude,0.0026628921140085305
numerical__latitude,0.002215779968948528
numerical__hour,0.0007483396313382398
numerical__temperature,0.0005514023481434478
categorical__day_of_week_Thursday,0.0004579597106731471
numerical__lanes,0.0004536536723172015
numerical__traffic_signal,0.00032412287982930667
categorical__day_of_week_Sunday,0.00028134907473538197
categorical__traffic_density_medium,0.00028005312201310095
categorical__day_of_week_Tuesday,0.00023463876023763398
categorical__weather_fog,0.00023231188937959852
categorical__city_Pune,0.00019023164111328352
categorical__day_of_week_Monday,9.106389060350103e-05
categorical__day_of_week_Wednesday,8.464826760716006e-05
categorical__road_type_rural,7.906692131815369e-05
numerical__is_weekend,7.804349098503147e-05
categorical__city_Bangalore,7.459311139780404e-05
categorical__road_type_urban,7.422738026554153e-05
categorical__city_Hyderabad,5.3552545856450824e-05
categorical__state_Telangana,4.8054661996418625e-05
categorical__day_of_week_Saturday,4.746307236126957e-05
categorical__road_type_highway,3.940810365548873e-05
categorical__state_Karnataka,3.206701802218764e-05
categorical__day_of_week_Friday,1.0951655952327897e-05
categorical__city_Chennai,5.683231847653167e-06
categorical__traffic_density_low,5.299064928679219e-06
categorical__state_Tamil Nadu,5.2810978510532115e-06
categorical__state_Delhi,0.0
categorical__city_Mumbai,0.0
categorical__city_Delhi,0.0
categorical__city_Kolkata,0.0
categorical__city_Chandigarh,0.0
categorical__state_Maharashtra,0.0
categorical__state_West Bengal,0.0
categorical__state_Punjab,0.0
